isqno,war,name,date_start,date_end,duration,attacker,defender,winner,locn
210,Guerra Civil Americana,GLOBE TAVERN,1864-08-18 00:00:00,1864-08-22 00:00:00,4 days 00:00:00,EE. UU.,Confederación,attacker,Virginia
211,Guerra Civil Americana,OPEQUON CREEK (THIRD WINCHESTER),1864-09-19 05:00:00,1864-09-19 17:00:00,0 days 12:00:00,EE. UU.,Confederación,attacker,Virginia
212,Guerra Civil Americana,CEDAR CREEK,1864-10-19 05:30:00,1864-10-19 18:00:00,0 days 12:30:00,Confederación,EE. UU.,defender,Virginia
213,Guerra Civil Americana,FRANKLIN,1864-11-30 15:30:00,1864-11-30 23:00:00,0 days 07:30:00,Confederación,EE. UU.,defender,Tennessee
214,Guerra Civil Americana,NASHVILLE,1864-12-15 08:00:00,1864-12-16 16:45:00,1 days 08:45:00,EE. UU.,Confederación,attacker,Tennessee
215,Guerra Civil Americana,BENTONVILLE,1865-03-19 06:00:00,1865-03-21 08:00:00,2 days 02:00:00,Confederación,EE. UU.,defender,Carolina del Norte
216,Guerra Civil Americana,DINWIDDIE COURTHOUSE & WHITE OAK ROAD,1865-03-29 00:00:00,1865-04-01 00:00:00,3 days 00:00:00,EE. UU.,Confederación,draw,Virginia
217,Guerra Civil Americana,FIVE FORKS,1865-04-01 16:00:00,1865-04-01 19:30:00,0 days 03:30:00,EE. UU.,Confederación,attacker,Virginia
218,Guerra Civil Americana,SELMA,1865-04-02 00:00:00,1865-04-03 00:00:00,1 days 00:00:00,EE. UU.,Confederación,attacker,Alabama
219,Guerra Civil Americana,SAYLOR'S CREEK,1865-04-06 08:30:00,1865-04-06 19:30:00,0 days 11:00:00,EE. UU.,Confederación,attacker,Virginia
